,unique_id,cuisine,district
72,node/4191855838,international,"2nd District, Budapest, Hungary"
73,node/4441589069,,"2nd District, Budapest, Hungary"
74,node/4441589547,chinese,"2nd District, Budapest, Hungary"
75,node/4489988837,,"2nd District, Budapest, Hungary"
76,node/4505287207,,"2nd District, Budapest, Hungary"
77,node/4520477805,hungarian,"2nd District, Budapest, Hungary"
78,node/4677388170,burger;sandwich;grilled chicken;chicken slice;chips,"2nd District, Budapest, Hungary"
79,node/4701520899,coffee_shop;pasta;sandwich,"2nd District, Budapest, Hungary"
80,node/4751736622,tapas;spanish,"2nd District, Budapest, Hungary"
81,node/4764477204,,"2nd District, Budapest, Hungary"
82,node/4804292710,pizza,"2nd District, Budapest, Hungary"
83,node/4804292711,pizza,"2nd District, Budapest, Hungary"
84,node/4888307321,bbq,"2nd District, Budapest, Hungary"
85,node/4933474004,,"2nd District, Budapest, Hungary"
86,node/4933474707,,"2nd District, Budapest, Hungary"
87,node/5126428945,hot_dog,"2nd District, Budapest, Hungary"
88,node/5126428950,indian,"2nd District, Budapest, Hungary"
89,node/5133169771,,"2nd District, Budapest, Hungary"
90,node/5285577651,fish;fish_and_chips,"2nd District, Budapest, Hungary"
91,node/5320257051,,"2nd District, Budapest, Hungary"
92,node/5320295812,chinese,"2nd District, Budapest, Hungary"
93,node/5333078546,,"2nd District, Budapest, Hungary"
94,node/5380557011,international;burger,"2nd District, Budapest, Hungary"
95,node/5566370070,,"2nd District, Budapest, Hungary"
96,node/5566566107,,"2nd District, Budapest, Hungary"
97,node/5672967341,regional,"2nd District, Budapest, Hungary"
98,node/5773050903,turkish,"2nd District, Budapest, Hungary"
99,node/5817751153,hungarian,"2nd District, Budapest, Hungary"
100,node/5830493725,,"2nd District, Budapest, Hungary"
101,node/5834305886,hungarian;italian;mediterranean,"2nd District, Budapest, Hungary"
102,node/5859015318,regional,"2nd District, Budapest, Hungary"
103,node/5961078490,hungarian,"2nd District, Budapest, Hungary"
104,node/5974740044,regional,"2nd District, Budapest, Hungary"
105,node/6118876699,chinese;japanese,"2nd District, Budapest, Hungary"
106,node/6165829021,kebab,"2nd District, Budapest, Hungary"
107,node/6165829022,,"2nd District, Budapest, Hungary"
108,node/6165979803,chinese,"2nd District, Budapest, Hungary"
109,node/6204981847,sandwich,"2nd District, Budapest, Hungary"
110,node/6417643637,,"2nd District, Budapest, Hungary"
111,node/6634997957,american,"2nd District, Budapest, Hungary"
112,node/6718337368,italian,"2nd District, Budapest, Hungary"
113,node/6769062255,,"2nd District, Budapest, Hungary"
114,node/6769062256,,"2nd District, Budapest, Hungary"
115,node/6776763672,hungarian;local,"2nd District, Budapest, Hungary"
116,node/6777040260,regional,"2nd District, Budapest, Hungary"
117,node/6806570376,,"2nd District, Budapest, Hungary"
118,node/6850872277,,"2nd District, Budapest, Hungary"
119,node/6850872278,chicken,"2nd District, Budapest, Hungary"
120,node/6850872279,burger,"2nd District, Budapest, Hungary"
121,node/6850872280,,"2nd District, Budapest, Hungary"
122,node/6895118380,,"2nd District, Budapest, Hungary"
123,node/6903615736,,"2nd District, Budapest, Hungary"
124,node/6905181185,,"2nd District, Budapest, Hungary"
125,node/6983181468,,"2nd District, Budapest, Hungary"
126,node/7131433304,syrian,"2nd District, Budapest, Hungary"
127,node/7142932497,,"2nd District, Budapest, Hungary"
128,node/7347261682,chicken,"2nd District, Budapest, Hungary"
129,node/7347275993,asian;korean;japanese,"2nd District, Budapest, Hungary"
130,node/7810626745,,"2nd District, Budapest, Hungary"
131,node/7853119968,chinese,"2nd District, Budapest, Hungary"
132,node/7928888058,asian;middle_eastern;central_asian;indian,"2nd District, Budapest, Hungary"
133,way/249493558,chinese,"2nd District, Budapest, Hungary"
134,way/253990554,,"2nd District, Budapest, Hungary"
135,way/263998325,international,"2nd District, Budapest, Hungary"
136,way/321257330,,"2nd District, Budapest, Hungary"
137,way/384140470,regional,"2nd District, Budapest, Hungary"
138,way/397476505,,"2nd District, Budapest, Hungary"
139,way/397476509,,"2nd District, Budapest, Hungary"
140,way/397476554,,"2nd District, Budapest, Hungary"
141,way/585473331,,"2nd District, Budapest, Hungary"
142,way/631052686,georgian,"2nd District, Budapest, Hungary"
0,node/262185608,pizza,"3rd District, Budapest, Hungary"
1,node/471830086,regional,"3rd District, Budapest, Hungary"
2,node/471830088,regional,"3rd District, Budapest, Hungary"
3,node/735855098,regional;pizza,"3rd District, Budapest, Hungary"
4,node/736033248,greek;kebab,"3rd District, Budapest, Hungary"
5,node/838680310,chinese,"3rd District, Budapest, Hungary"
6,node/846293417,indian,"3rd District, Budapest, Hungary"
7,node/1229750088,regional,"3rd District, Budapest, Hungary"
8,node/1243010287,chinese,"3rd District, Budapest, Hungary"
9,node/1243021867,,"3rd District, Budapest, Hungary"
10,node/1243086847,burger;regional;pizza,"3rd District, Budapest, Hungary"
11,node/1243164331,regional,"3rd District, Budapest, Hungary"
12,node/1344973051,regional,"3rd District, Budapest, Hungary"
13,node/1344981003,regional,"3rd District, Budapest, Hungary"
14,node/1362124144,middle_eastern,"3rd District, Budapest, Hungary"
15,node/1689254517,international,"3rd District, Budapest, Hungary"
16,node/1689295873,chicken,"3rd District, Budapest, Hungary"
17,node/1714013085,regional,"3rd District, Budapest, Hungary"
18,node/1773927746,,"3rd District, Budapest, Hungary"
19,node/2023663811,international,"3rd District, Budapest, Hungary"
20,node/2333110749,fusion,"3rd District, Budapest, Hungary"
21,node/2333111184,japanese;sushi,"3rd District, Budapest, Hungary"
22,node/2333111776,asian;regional,"3rd District, Budapest, Hungary"
23,node/2333115435,japanese;sushi,"3rd District, Budapest, Hungary"
24,node/2333118722,regional,"3rd District, Budapest, Hungary"
25,node/2333123083,regional,"3rd District, Budapest, Hungary"
26,node/2333130777,international;pizza,"3rd District, Budapest, Hungary"
27,node/2333133063,international,"3rd District, Budapest, Hungary"
28,node/2333154745,japanese;korean;sushi;thai,"3rd District, Budapest, Hungary"
29,node/2333158387,regional,"3rd District, Budapest, Hungary"
30,node/2333159219,international,"3rd District, Budapest, Hungary"
31,node/2628339306,pizza,"3rd District, Budapest, Hungary"
32,node/2699659212,chinese,"3rd District, Budapest, Hungary"
33,node/2764335006,international,"3rd District, Budapest, Hungary"
34,node/2764421667,italian;pizza,"3rd District, Budapest, Hungary"
35,node/2839771684,regional,"3rd District, Budapest, Hungary"
36,node/2839771685,fish_and_chips;burger;regional,"3rd District, Budapest, Hungary"
37,node/2839771686,fish_and_chips,"3rd District, Budapest, Hungary"
38,node/2908694868,regional,"3rd District, Budapest, Hungary"
39,node/3026789781,regional,"3rd District, Budapest, Hungary"
40,node/3041028969,regional,"3rd District, Budapest, Hungary"
41,node/3157685615,regional,"3rd District, Budapest, Hungary"
42,node/3157685977,regional,"3rd District, Budapest, Hungary"
43,node/3209524646,kebab;turkish,"3rd District, Budapest, Hungary"
44,node/3452062014,regional,"3rd District, Budapest, Hungary"
45,node/3465235511,regional,"3rd District, Budapest, Hungary"
46,node/3465235519,american;burger;steak_house,"3rd District, Budapest, Hungary"
47,node/3465235531,regional,"3rd District, Budapest, Hungary"
48,node/3465235539,regional,"3rd District, Budapest, Hungary"
49,node/3465235542,regional,"3rd District, Budapest, Hungary"
50,node/3465235554,regional,"3rd District, Budapest, Hungary"
51,node/3465235566,regional,"3rd District, Budapest, Hungary"
52,node/3465235568,,"3rd District, Budapest, Hungary"
53,node/3465235570,regional,"3rd District, Budapest, Hungary"
54,node/3465235585,,"3rd District, Budapest, Hungary"
55,node/3465236149,burger;regional;langos,"3rd District, Budapest, Hungary"
56,node/3481222928,regional,"3rd District, Budapest, Hungary"
57,node/3481222929,regional,"3rd District, Budapest, Hungary"
58,node/3481222930,fish_and_chips;burger;regional,"3rd District, Budapest, Hungary"
59,node/3492838828,asian;sushi,"3rd District, Budapest, Hungary"
60,node/3619962659,american;barbecue,"3rd District, Budapest, Hungary"
61,node/3692630953,kebab;turkish,"3rd District, Budapest, Hungary"
62,node/3757665103,regional,"3rd District, Budapest, Hungary"
63,node/3776152773,burger;grill;coctail,"3rd District, Budapest, Hungary"
64,node/3865282957,regional,"3rd District, Budapest, Hungary"
65,node/3865342657,thai,"3rd District, Budapest, Hungary"
66,node/3867804972,chicken,"3rd District, Budapest, Hungary"
67,node/4076410383,regional,"3rd District, Budapest, Hungary"
68,node/4101433689,greek;burger;kebab,"3rd District, Budapest, Hungary"
69,node/4107420407,regional,"3rd District, Budapest, Hungary"
70,node/4107420409,burger,"3rd District, Budapest, Hungary"
71,node/4125801533,,"3rd District, Budapest, Hungary"
72,node/4140263733,middle_eastern,"3rd District, Budapest, Hungary"
73,node/4166309325,greek;kebab,"3rd District, Budapest, Hungary"
